Date,Bagasse_Generation,Bagasse_and_Diesel_Generation,Black_Coal_Generation,Coal_Seam_Methane_Generation,Grid_Generation,Kerosene_Generation,Natural_Gas_Generation,Solar_Generation,Solar__Generation,Waste_Coal_Mine_Gas_Generation,Water_Generation,Wind_Generation,RRP,RESDEMAND,weekday,month,year
2020-08-24,3163.8,0.0,1448112.40772,52724.74295,0.0,0.0,205664.12532,130797.331511,9976.48363,25171.187606,38772.61211,72733.99842999999,56.09892125,108488721.0,0,8,2020
2020-08-25,3294.2,0.0,1462927.76452,36866.35179,0.0,0.0,218475.82278,102700.140749,9732.19866,22817.175043,30960.41964,67144.71164,31.649195625,108430685.0,1,8,2020
2020-08-26,3204.6,0.0,1507187.01393,26875.63031,0.0,0.0,196362.7561,106965.678633,9176.754,23049.587348,30168.0121,56826.02754,29.284157604166666,109129204.0,2,8,2020
2020-08-27,3349.0,0.0,1500086.56054,12456.11369,0.0,0.0,195996.64411,86967.39533099999,8422.22684,18381.837691,20481.11481,40696.06537,24.768503020833332,108064883.0,3,8,2020
2020-08-28,3309.5,0.0,1460317.35452,10223.91367,0.0,0.0,165755.75988,96846.356415,9701.98627,23155.793812,39772.94448,41433.60471,30.798923680555557,105406102.0,4,8,2020
2020-08-29,2942.4,0.0,1409668.74912,27581.39762,0.0,0.0,53961.4558,83528.42313899999,9480.88362,22669.837521,35455.26217,72061.96583,16.8295165625,100170496.0,5,8,2020
2020-08-30,0.0,0.0,1404180.24661,13703.26344,0.0,0.0,45051.13269,82735.037138,7960.66279,24221.831336,24457.02486,62117.08703,25.44015503472222,99925948.0,6,8,2020
2020-08-31,2551.9,0.0,1465244.87089,42684.34244,0.0,0.0,45986.84138,92944.86726,9170.69124,23293.69372,17535.4625,29039.55522,33.477614375,105503213.0,0,8,2020
2020-09-01,3218.6,0.0,1473413.3307700001,23359.22605,0.0,0.0,78590.90501,105653.950342,9752.93602,23332.887582,16024.725,28290.12356,32.10265215277778,105663469.0,1,9,2020
2020-09-02,3358.8,0.0,1488819.70205,26137.6574,0.0,0.0,76349.0651,104557.753392,8621.0957,24220.399966,17566.7575,68087.30592,35.322390381944444,106237056.0,2,9,2020
2020-09-03,3292.6,0.0,1469561.88936,22905.23006,0.0,0.0,77915.17306,80793.887369,5895.85789,26051.124984000002,18564.355,38059.82747,38.37506381944444,106195599.0,3,9,2020
2020-09-04,3426.7,0.0,1460092.5387,22469.647790000003,0.0,0.0,54928.50642,99128.165719,7533.59884,25652.293626,18629.46,47919.71752,30.438396215277777,104529885.0,4,9,2020
2020-09-05,3517.5,0.0,1428950.13319,32815.84051,0.0,0.0,4513.97128,78010.253046,7815.25682,23116.112491,16654.89,32592.482890000003,26.164284479166668,98934962.0,5,9,2020
2020-09-06,3132.2,0.0,1420850.59171,33719.039880000004,0.0,0.0,0.0,96786.194735,8141.56937,25604.356035,16499.9075,44462.08133,27.030481319444444,98804538.0,6,9,2020
2020-09-07,3601.1,0.0,1425591.35437,59023.90674,0.0,0.0,34544.27796,96146.211627,6459.19311,18795.287329,15465.465,82035.9185,28.228431076388887,106533867.0,0,9,2020
2020-09-08,3623.3,0.0,1461081.26802,22792.62963,0.0,0.0,87312.86101,48950.911923,8720.43797,25679.875072,16278.5075,64055.37224,35.2409303125,105678357.0,1,9,2020
2020-09-09,3526.2,0.0,1455810.87199,12550.44435,0.0,0.0,65078.28406,100297.297764,8853.62016,24493.024969,21704.94238,56239.92808,26.88686795138889,104760554.0,2,9,2020
2020-09-10,3186.4,0.0,1470985.30996,35552.84937,0.0,0.0,90474.56875,108521.688104,5536.5112500000005,24858.856332,29846.75719,66703.20822,34.17110802083334,108165761.0,3,9,2020
2020-09-11,3106.1,0.0,1404132.50222,30792.513030000002,0.0,0.0,91504.30348,86578.938333,5305.67922,25276.243792,29658.459730000002,61349.93455,32.61275204861111,106469445.0,4,9,2020
2020-09-12,0.0,0.0,1358888.50603,33422.33192,0.0,0.0,36254.119249999996,77678.32785,5732.7681299999995,25728.062456,28301.10472,72508.98711,24.312975729166666,98315122.0,5,9,2020
2020-09-13,0.0,0.0,1427799.3432,29270.41123,0.0,0.0,38301.70859,108538.731039,9699.72303,25587.962415,26410.83982,60084.62447,31.702228090277774,96897182.0,6,9,2020
2020-09-14,2198.4,0.0,1425729.34212,34286.060379999995,0.0,0.0,71342.67947,104971.437717,8991.43864,25732.512505,25713.12478,43509.78312,28.973807534722223,104783442.0,0,9,2020
2020-09-15,3372.0,0.0,1364758.62103,27951.425909999998,0.0,0.0,93388.64966,98790.168115,7969.47412,24803.268754,27125.88974,76763.62505,18.8377896875,104718358.0,1,9,2020
2020-09-16,3411.6,0.0,1384816.52051,40518.61712,0.0,0.0,91921.61992,96887.818329,6169.42789,17496.200177,24299.87485,75426.92211,27.459581562500002,104947937.0,2,9,2020
2020-09-17,3366.8,0.0,1417122.06067,22432.15971,0.0,0.0,100604.75875000001,93502.504274,8136.7837899999995,22598.63123,24814.26983,57245.626410000004,20.762399375,104614954.0,3,9,2020
2020-09-18,3506.0,0.0,1416517.95003,4159.51794,0.0,0.0,87595.39404,89699.4856,6498.2675,20223.418481,30488.52967,87673.71467,26.54987440972222,104814283.0,4,9,2020
2020-09-19,3297.100001,0.0,1369964.13832,113.11776,0.0,0.0,35393.8223,71520.948055,10736.59679,21866.437358,30147.2097,99633.83549,15.294909722222222,98482225.0,5,9,2020
2020-09-20,3139.2,0.0,1433705.5665,113.11776,0.0,0.0,37073.99853,110994.912828,6901.62507,21978.906225,23278.71236,61378.13584,28.72912440972222,98678028.0,6,9,2020
2020-09-21,3200.1,0.0,1428806.37408,6224.318,0.0,0.0,85146.14891,115794.08714,8313.30571,18420.262424,24521.80229,67427.44998,25.77001996527778,107506517.0,0,9,2020
2020-09-22,3009.7,0.0,1471647.98971,15575.33338,0.0,0.0,127375.62358,106091.758355,5420.31841,18018.199849,24106.9423,43755.01367,36.65828527777778,109586498.0,1,9,2020
2020-09-23,2809.499999,0.0,1500139.793,5039.91801,0.0,0.0,130847.89263,102525.84217,8581.50564,19689.137442,21619.61746,30883.60047,31.493264166666666,109049841.0,2,9,2020
2020-09-24,0.0,0.0,1415872.97401,2967.71788,0.0,0.0,121299.86045000001,94250.078141,10140.12644,22374.656165,28263.12731,49711.27665,21.735422708333335,104056360.0,3,9,2020
2020-09-25,0.0,0.0,1412696.54023,4935.91794,0.0,0.0,91051.38694,97807.060454,8688.24729,21576.662537,46969.41937,49284.468590000004,18.893856562499998,104867786.0,4,9,2020
2020-09-26,0.0,0.0,1369983.28425,5506.2390399999995,0.0,0.0,74541.34404,72225.613962,9738.4932,20636.112589,28387.74216,70688.28846,4.116196666666667,97231904.0,5,9,2020
2020-09-27,0.0,0.0,1430430.35348,18551.00143,0.0,0.0,88146.27613,124667.095031,10000.63183,22905.518709,30049.49712,53942.29036,38.49794722222222,95480175.0,6,9,2020
2020-09-28,2512.399998,0.0,1467716.4344600001,21237.85422,0.0,0.0,98692.06732,106529.845135,9374.05885,20243.856243000002,26172.2147,64992.58236,25.22248107638889,104177705.0,0,9,2020
2020-09-29,3355.8,0.0,1443973.62823,11502.16228,0.0,0.0,115440.75322,106080.380992,8368.04423,22702.937607,30471.46474,85821.95569,23.383527812500002,103513117.0,1,9,2020
2020-09-30,3372.7,0.0,1461709.74744,2685.1095299999997,0.0,0.0,125056.03397,107921.587742,4468.82196,20882.649986,34315.75212,70379.43408,25.922863958333334,104243802.0,2,9,2020
2020-10-01,3120.6,0.0,1438742.64759,4217.32105,0.0,0.0,137147.43269,115523.27588,8892.89675,19129.831252,30273.83474,50102.53304,26.066503090277777,104201357.0,3,10,2020
2020-10-02,3565.2999999999997,0.0,1434029.41716,2187.30951,0.0,139.43969,128134.63983,127738.284493,9976.14925,21310.631249,32948.68215,37910.096190000004,26.748356701388886,103965604.0,4,10,2020
2020-10-03,3569.2000000000003,0.0,1391866.4377600001,66.70944,0.0,0.0,70617.8209,99624.84996,9691.25435,21959.312492,25193.86977,80809.92342,8.09862753472222,98107060.0,5,10,2020
2020-10-04,3464.5,0.0,1439420.35949,2753.70951,0.0,0.0,63798.22139,110684.806951,9991.59995,21391.049823,24741.87736,82470.08817,27.242231979166665,96790285.0,6,10,2020
2020-10-05,3430.3,0.0,1492747.24662,19896.182539999998,0.0,0.0,87970.66325,120981.937972,9951.10673,22230.693646,30003.23225,53620.23223,36.74512649305555,98448622.0,0,10,2020
2020-10-06,3385.0,0.0,1524333.63265,24163.33625,0.0,0.0,106808.0799,100086.462366,9959.831610000001,23289.625087,26315.65988,50728.45095,42.486434027777776,105336087.0,1,10,2020
2020-10-07,3354.2,0.0,1511201.16103,8542.919090000001,0.0,0.0,110366.45723,106952.854985,9919.07995,21878.07494,19729.06488,59360.62331,21.572894027777778,104882342.0,2,10,2020
2020-10-08,3281.7,0.0,1484605.53196,9685.810599999999,0.0,2321.69382,134916.63722,115663.775081,8360.9753,21740.931081,23264.98488,41372.39066,31.753693402777774,105085367.0,3,10,2020
2020-10-09,3355.900005,0.0,1476436.5405000001,19167.77981,0.0,0.0,162752.60828,122423.684064,9917.6906,22276.799918,35802.86961,45072.96797,48.38115690972222,105751364.0,4,10,2020
2020-10-10,0.0,0.0,1447909.19312,8733.63021,0.0,0.0,91938.17419,89033.449451,10039.33718,21693.956403,29586.74465,44509.92489,21.005433888888888,98158873.0,5,10,2020
2020-10-11,0.0,0.0,1515662.53226,16311.35053,0.0,0.0,100113.5144,105081.044948,7588.9936800000005,22312.806184,35197.55963,54831.30952,51.963235868055555,97344660.0,6,10,2020
